Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-06,EX4,EX4.PV,AO,Heat source,%,Primary control valve,Modulate to hold S-OUT
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-06,EX4,EX4.PVFB,AI,Heat source,%,Primary valve position fb,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-06,EXT-3,EXT-3.LVL,AI,Heat source,%,Tank level,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-06,EXT-3,EXT-3.HI,BI,Heat source,-,High-level alarm,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-06,EXT-3,EXT-3.LO,BI,Heat source,-,Low-level alarm,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-07,CHGV-1,CHGV-1.CMD,BO,Heat source,-,Open/close command,R-1 evaporator branch valve (open = chiller mode)
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-07,CHGV-1,CHGV-1.ST,BI,Heat source,-,Position status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-07,CHGV-2,CHGV-2.CMD,BO,Heat source,-,Open/close command,Through-main valve (open = DHC bypass mode)
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-07,CHGV-2,CHGV-2.ST,BI,Heat source,-,Position status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.RUN,BI,Air side,-,Supply fan run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.TRIP,BI,Air side,-,Supply fan fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.RAT,AI,Air side,°C,Return air temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-22,AC-22.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.RUN,BI,Air side,-,Supply fan run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.TRIP,BI,Air side,-,Supply fan fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.RAT,AI,Air side,°C,Return air temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-23,AC-23.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.RUN,BI,Air side,-,Supply fan run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.TRIP,BI,Air side,-,Supply fan fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.RAT,AI,Air side,°C,Return air temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.HUM,AO,Air side,%,Steam humidifier valve,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.RH,AI,Air side,%RH,Return/space humidity,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-08,AC-24,AC-24.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.RUN,BI,Air side,-,Supply fan run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.TRIP,BI,Air side,-,Supply fan fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.RAT,AI,Air side,°C,Return air temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-25,AC-25.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.RUN,BI,Air side,-,Supply fan run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.TRIP,BI,Air side,-,Supply fan fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.RAT,AI,Air side,°C,Return air temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.HUM,AO,Air side,%,Steam humidifier valve,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.RH,AI,Air side,%RH,Return/space humidity,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.FLT,BI,Air side,-,Filter dirty (DP),
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.OAD,AO,Air side,%,Outdoor-air damper,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-09,AC-27,AC-27.FRZ,BI,Air side,-,Freeze protection stat,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.EN,BO,Air side,-,Group enable / schedule,36/37F: EX4 secondary loop (DHC/R-1 source)
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.MODE,BI,Air side,-,Cooling/Heating changeover status,順序/季節切替
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.CWV,AO,Air side,%,Chilled-water group valve,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.HWV,AO,Air side,%,Hot-water group valve,Deadband vs cooling
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.CWBV-F,BI,Air side,-,Chilled-water BV batch fault,冷水BV一括故障
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.HWBV-F,BI,Air side,-,Hot-water BV batch fault,温水BV一括故障
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-10,FCU-3637,FCU-3637.RT,AI,Air side,°C,Zone reference/return temp,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-82,EF-82.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-82,EF-82.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-82,EF-82.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-83,EF-83.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-83,EF-83.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-83,EF-83.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-83,EF-83.SPD,AO,Ventilation,%,VFD (INV) speed command,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-83,EF-83.SPDFB,AI,Ventilation,%,VFD speed feedback,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-84,EF-84.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-84,EF-84.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-11,EF-84,EF-84.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-85,EF-85.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-85,EF-85.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-85,EF-85.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-86,EF-86.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-86,EF-86.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-86,EF-86.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-89,EF-89.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-89,EF-89.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-12,EF-89,EF-89.TRIP,BI,Ventilation,-,Fault,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-13,EF-98,EF-98.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-13,EF-98,EF-98.RUN,BI,Ventilation,-,Run status,
LCP-3637,"36/37F local heat-source panel (36,37F系統)",DDC-3637-13,EF-98,EF-98.TRIP,BI,Ventilation,-,Fault,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.RUN,BI,Air side,-,Supply fan run status,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.TRIP,BI,Air side,-,Supply fan fault,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.RAT,AI,Air side,°C,Return air temp,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.FLT,BI,Air side,-,Filter dirty (DP),
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.OAD,AO,Air side,%,Outdoor-air damper,
LCP-1F,1F–2F air-side panel,DDC-1F-01,AC-7,AC-7.FRZ,BI,Air side,-,Freeze protection stat,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.RUN,BI,Air side,-,Supply fan run status,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.TRIP,BI,Air side,-,Supply fan fault,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.HUM,AO,Air side,%,Steam humidifier valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.FLT,BI,Air side,-,Filter dirty (DP),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-1,EVU-1.FRZ,BI,Air side,-,Freeze protection stat,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.RUN,BI,Air side,-,Supply fan run status,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.TRIP,BI,Air side,-,Supply fan fault,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.HUM,AO,Air side,%,Steam humidifier valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.FLT,BI,Air side,-,Filter dirty (DP),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-2,EVU-2.FRZ,BI,Air side,-,Freeze protection stat,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.RUN,BI,Air side,-,Supply fan run status,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.TRIP,BI,Air side,-,Supply fan fault,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.SPD,AO,Air side,%,Supply fan speed (fixed),No INV control per schedule
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.HUM,AO,Air side,%,Steam humidifier valve,
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.FLT,BI,Air side,-,Filter dirty (DP),
LCP-1F,1F–2F air-side panel,DDC-1F-02,EVU-3,EVU-3.FRZ,BI,Air side,-,Freeze protection stat,
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-41,EF-41.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-41,EF-41.RUN,BI,Ventilation,-,Run status,
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-41,EF-41.TRIP,BI,Ventilation,-,Fault,
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-42,EF-42.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-42,EF-42.RUN,BI,Ventilation,-,Run status,
LCP-1F,1F–2F air-side panel,DDC-1F-03,EF-42,EF-42.TRIP,BI,Ventilation,-,Fault,
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.SPD,AO,Air side,%,Supply fan speed (fixed),INFERRED / no INV control per schedule
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-01,AC-8,AC-8.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.SPD,AO,Air side,%,Supply fan speed (fixed),INFERRED / no INV control per schedule
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.SAT,AI,Air side,°C,Supply air temp,Kitchen SAT 5-12°C
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-01,AC-9,AC-9.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.TRIP,BI,Air side,-,Supply fan fault,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.SS,BO,Air side,-,Supply fan start/stop,Time/event schedule; banquet 'occ by event'
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV output schedule 0.4-1.0
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.SAT,AI,Air side,°C,Supply air temp,SAT/RAT setpoint schedule
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.RAT,AI,Air side,°C,Return air temp,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.CCV,AO,Air side,%,Cooling coil (CHW) valve,PID to SAT; zero-energy band
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband vs CCV
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.HUM,AO,Air side,%,Steam humidifier valve,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.RH,AI,Air side,%RH,Return/space humidity,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.FLT,BI,Air side,-,Filter dirty (DP),
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.OAD,AO,Air side,%,Outdoor-air damper,
LCP-2F,2F air-side panel,DDC-2F-01,AC-10,AC-10.FRZ,BI,Air side,-,Freeze protection stat,
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.RUN,BI,Air side,-,Supply fan run status,
LCP-2F,2F air-side panel,DDC-2F-02,AC-11,AC-11.TRIP,BI,Air side,-,Supply fan fault,
